Economy,Code,,Region,Income group,Lending category
El Salvador,SLV,,Latin America & Caribbean,Lower middle income,IBRD
Equatorial Guinea,GNQ,,..,High income: nonOECD,IBRD
Eritrea,ERI,,Sub-Saharan Africa,Low income,IDA
Estonia,EST,,..,High income: OECD,..
Ethiopia,ETH,,Sub-Saharan Africa,Low income,IDA
Faeroe Islands,FRO,,..,High income: nonOECD,..
Fiji,FJI,,East Asia & Pacific,Upper middle income,IBRD
Finland,FIN,,..,High income: OECD,..
France,FRA,,..,High income: OECD,..
French Polynesia,PYF,,..,High income: nonOECD,..
Gabon,GAB,,Sub-Saharan Africa,Upper middle income,IBRD
"Gambia, The",GMB,,Sub-Saharan Africa,Low income,IDA
Georgia,GEO,,Europe & Central Asia,Lower middle income,IBRD
Germany,DEU,,..,High income: OECD,..
Ghana,GHA,,Sub-Saharan Africa,Lower middle income,IDA
Greece,GRC,,..,High income: OECD,..
Greenland,GRL,,..,High income: nonOECD,..
Grenada,GRD,,Latin America & Caribbean,Upper middle income,Blend
Guam,GUM,,..,High income: nonOECD,..
Guatemala,GTM,,Latin America & Caribbean,Lower middle income,IBRD
Guinea,GIN,,Sub-Saharan Africa,Low income,IDA
Guinea-Bissau,GNB,,Sub-Saharan Africa,Low income,IDA
Guyana,GUY,,Latin America & Caribbean,Lower middle income,IDA
Haiti,HTI,,Latin America & Caribbean,Low income,IDA
Honduras,HND,,Latin America & Caribbean,Lower middle income,IDA
"Hong Kong SAR, China",HKG,,..,High income: nonOECD,..
Hungary,HUN,,Europe & Central Asia,Upper middle income,..
Iceland,ISL,,..,High income: OECD,..
India,IND,,South Asia,Lower middle income,IBRD
Indonesia,IDN,,East Asia & Pacific,Lower middle income,IBRD
"Iran, Islamic Rep.",IRN,,Middle East & North Africa,Upper middle income,IBRD
Iraq,IRQ,,Middle East & North Africa,Upper middle income,IBRD
Ireland,IRL,,..,High income: OECD,..
Isle of Man,IMY,,..,High income: nonOECD,..
Israel,ISR,,..,High income: OECD,..
Italy,ITA,,..,High income: OECD,..
Jamaica,JAM,,Latin America & Caribbean,Upper middle income,IBRD
Japan,JPN,,..,High income: OECD,..
Jordan,JOR,,Middle East & North Africa,Upper middle income,IBRD
Kazakhstan,KAZ,,Europe & Central Asia,Upper middle income,IBRD
Kenya,KEN,,Sub-Saharan Africa,Low income,IDA
Kiribati,KIR,,East Asia & Pacific,Lower middle income,IDA
"Korea, Dem. Rep.",PRK,,East Asia & Pacific,Low income,..
"Korea, Rep.",KOR,,..,High income: OECD,IBRD
Kosovo,KSV,,Europe & Central Asia,Lower middle income,IDA
Kuwait,KWT,,..,High income: nonOECD,..
Kyrgyz Republic,KGZ,,Europe & Central Asia,Lower middle income,IDA
Lao PDR,LAO,,East Asia & Pacific,Lower middle income,IDA
Latvia,LVA,,..,High income: nonOECD,..
Lebanon,LBN,,Middle East & North Africa,Upper middle income,IBRD
Lesotho,LSO,,Sub-Saharan Africa,Lower middle income,IDA
Liberia,LBR,,Sub-Saharan Africa,Low income,IDA
Libya,LBY,,Middle East & North Africa,Upper middle income,IBRD
Liechtenstein,LIE,,..,High income: nonOECD,..
Lithuania,LTU,,..,High income: nonOECD,..
Luxembourg,LUX,,..,High income: OECD,..
"Macao SAR, China",MAC,,..,High income: nonOECD,..
"Macedonia, FYR",MKD,,Europe & Central Asia,Upper middle income,IBRD
Madagascar,MDG,,Sub-Saharan Africa,Low income,IDA
Malawi,MWI,,Sub-Saharan Africa,Low income,IDA
Malaysia,MYS,,East Asia & Pacific,Upper middle income,IBRD
Maldives,MDV,,South Asia,Upper middle income,IDA
Mali,MLI,,Sub-Saharan Africa,Low income,IDA
Malta,MLT,,..,High income: nonOECD,..
Marshall Islands,MHL,,East Asia & Pacific,Upper middle income,IDA
Mauritania,MRT,,Sub-Saharan Africa,Lower middle income,IDA
Mauritius,MUS,,Sub-Saharan Africa,Upper middle income,IBRD
Mexico,MEX,,Latin America & Caribbean,Upper middle income,IBRD
"Micronesia, Fed. Sts.",FSM,,East Asia & Pacific,Lower middle income,IDA
Moldova,MDA,,Europe & Central Asia,Lower middle income,Blend
Monaco,MCO,,..,High income: nonOECD,..
Mongolia,MNG,,East Asia & Pacific,Lower middle income,Blend
Montenegro,MNE,,Europe & Central Asia,Upper middle income,IBRD
Morocco,MAR,,Middle East & North Africa,Lower middle income,IBRD
Mozambique,MOZ,,Sub-Saharan Africa,Low income,IDA
Myanmar,MMR,,East Asia & Pacific,Low income,IDA
Namibia,NAM,,Sub-Saharan Africa,Upper middle income,IBRD
Nepal,NPL,,South Asia,Low income,IDA
Netherlands,NLD,,..,High income: OECD,..
New Caledonia,NCL,,..,High income: nonOECD,..
New Zealand,NZL,,..,High income: OECD,..
Nicaragua,NIC,,Latin America & Caribbean,Lower middle income,IDA
Niger,NER,,Sub-Saharan Africa,Low income,IDA
Nigeria,NGA,,Sub-Saharan Africa,Lower middle income,Blend
Northern Mariana Islands,MNP,,..,High income: nonOECD,..
Norway,NOR,,..,High income: OECD,..
Oman,OMN,,..,High income: nonOECD,..
Pakistan,PAK,,South Asia,Lower middle income,Blend
Palau,PLW,,East Asia & Pacific,Upper middle income,IBRD
Panama,PAN,,Latin America & Caribbean,Upper middle income,IBRD
Papua New Guinea,PNG,,East Asia & Pacific,Lower middle income,Blend
Paraguay,PRY,,Latin America & Caribbean,Lower middle income,IBRD
Peru,PER,,Latin America & Caribbean,Upper middle income,IBRD
Philippines,PHL,,East Asia & Pacific,Lower middle income,IBRD
Poland,POL,,..,High income: OECD,IBRD
Portugal,PRT,,..,High income: OECD,..
Puerto Rico,PRI,,..,High income: nonOECD,..
Qatar,QAT,,..,High income: nonOECD,..
Romania,ROM,,Europe & Central Asia,Upper middle income,IBRD
Russian Federation,RUS,,..,High income: nonOECD,IBRD
Rwanda,RWA,,Sub-Saharan Africa,Low income,IDA
Samoa,WSM,,East Asia & Pacific,Lower middle income,IDA
San Marino,SMR,,..,High income: nonOECD,..
São Tomé and Principe,STP,,Sub-Saharan Africa,Lower middle income,IDA
Saudi Arabia,SAU,,..,High income: nonOECD,..
Senegal,SEN,,Sub-Saharan Africa,Lower middle income,IDA
Serbia,SRB,,Europe & Central Asia,Upper middle income,IBRD
Seychelles,SYC,,Sub-Saharan Africa,Upper middle income,IBRD
Sierra Leone,SLE,,Sub-Saharan Africa,Low income,IDA
Singapore,SGP,,..,High income: nonOECD,..
Sint Maarten (Dutch part),SXM,,..,High income: nonOECD,..
Slovak Republic,SVK,,..,High income: OECD,..
Slovenia,SVN,,..,High income: OECD,..
Solomon Islands,SLB,,East Asia & Pacific,Lower middle income,IDA
Somalia,SOM,,Sub-Saharan Africa,Low income,IDA
South Africa,ZAF,,Sub-Saharan Africa,Upper middle income,IBRD
South Sudan,SSD,,Sub-Saharan Africa,Lower middle income,IDA
Spain,ESP,,..,High income: OECD,..
Sri Lanka,LKA,,South Asia,Lower middle income,Blend
St. Kitts and Nevis,KNA,,..,High income: nonOECD,IBRD
St. Lucia,LCA,,Latin America & Caribbean,Upper middle income,Blend
St. Martin (French part),MAF,,..,High income: nonOECD,..
St. Vincent and the Grenadines,VCT,,Latin America & Caribbean,Upper middle income,Blend
Sudan,SDN,,Sub-Saharan Africa,Lower middle income,IDA
Suriname,SUR,,Latin America & Caribbean,Upper middle income,IBRD
Swaziland,SWZ,,Sub-Saharan Africa,Lower middle income,IBRD
Sweden,SWE,,..,High income: OECD,..
Switzerland,CHE,,..,High income: OECD,..
Syrian Arab Republic,SYR,,Middle East & North Africa,Lower middle income,IBRD
Tajikistan,TJK,,Europe & Central Asia,Low income,IDA
Tanzania,TZA,,Sub-Saharan Africa,Low income,IDA
Thailand,THA,,East Asia & Pacific,Upper middle income,IBRD
Timor-Leste,TMP,,East Asia & Pacific,Lower middle income,Blend
Togo,TGO,,Sub-Saharan Africa,Low income,IDA
Tonga,TON,,East Asia & Pacific,Upper middle income,IDA
Trinidad and Tobago,TTO,,..,High income: nonOECD,IBRD
Tunisia,TUN,,Middle East & North Africa,Upper middle income,IBRD
Turkey,TUR,,Europe & Central Asia,Upper middle income,IBRD
Turkmenistan,TKM,,Europe & Central Asia,Upper middle income,IBRD
Turks and Caicos Islands,TCA,,..,High income: nonOECD,..
Tuvalu,TUV,,East Asia & Pacific,Upper middle income,IDA
Uganda,UGA,,Sub-Saharan Africa,Low income,IDA
Ukraine,UKR,,Europe & Central Asia,Lower middle income,IBRD
United Arab Emirates,ARE,,..,High income: nonOECD,..
United Kingdom,GBR,,..,High income: OECD,..
United States,USA,,..,High income: OECD,..
Uruguay,URY,,..,High income: nonOECD,IBRD
Uzbekistan,UZB,,Europe & Central Asia,Lower middle income,Blend
Vanuatu,VUT,,East Asia & Pacific,Lower middle income,IDA
"Venezuela, RB",VEN,,Latin America & Caribbean,Upper middle income,IBRD
Vietnam,VNM,,East Asia & Pacific,Lower middle income,Blend
Virgin Islands (U.S.),VIR,,..,High income: nonOECD,..
West Bank and Gaza,WBG,,Middle East & North Africa,Lower middle income,..
"Yemen, Rep.",YEM,,Middle East & North Africa,Lower middle income,IDA
Zambia,ZMB,,Sub-Saharan Africa,Lower middle income,IDA
Zimbabwe,ZWE,,Sub-Saharan Africa,Low income,Blend
